AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Cosimo il Vecchio,c. 1520,"Oil on panel, 86 x 65 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/p/pontormo/1/06cosimo.html,painting,portrait,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",View of the Salone,1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/0poggio.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco,1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/1poggio.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/1poggio1.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/1poggio2.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/1poggio3.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/2poggio1.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/2poggio2.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/3poggio1.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/3poggio2.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/3poggio3.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lunette fresco (detail),1519-21,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/html/p/pontormo/2poggio/3poggio4.html,painting,mythological,Italian,1501-1550
