AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"STEER, Philip Wilson","(b. 1860, Birkenhead, d. 1942, London)",Summer at Cowes,1888,"Oil on canvas, 51 x 61 cm","City Art Gallery, Manchester",https://www.wga.hu/html/s/steer/cowes.html,painting,landscape,English,1851-1900
"STEER, Philip Wilson","(b. 1860, Birkenhead, d. 1942, London)","Girls Running, Walberswick Pier",1890-94,"Oil on canvas, 69 x 93 cm","Tate Gallery, London",https://www.wga.hu/html/s/steer/girlsrun.html,painting,landscape,English,1851-1900
"STEINFELD, Franz","(b. 1787, Wien, d. 1868, Pisek)",Dachstein with Lake Hallstatt,1820s,"Oil on wood, 55 x 44 cm","Residenzgalerie, Salzburg",https://www.wga.hu/html/s/steinfel/hallstat.html,painting,landscape,Austrian,1801-1850
"STEVENS, Alfred","(b. 1823, Bruxelles, d. 1906, Paris)",Sailboats and Steamships,-,"Oil on panel, 35 x 27 cm",Private collection,https://www.wga.hu/html/s/steven_b/sailboat.html,painting,landscape,English,1851-1900
"STEVENS, Pieter","(b. ca. 1567, Mechelen, d. after 1624, Prague)",Landscape with a Footbridge,c. 1600,"Pen and brush, brown wash and watercolour, 206 x 296 mm","The Hermitage, St. Petersburg",https://www.wga.hu/html/s/stevens/landfoot.html,graphics,landscape,Flemish,1601-1650
"STEVENS, Pieter","(b. ca. 1567, Mechelen, d. after 1624, Prague)",Landscape with Ruins,1610,"Pen, brown ink, wash, 203 x 165 mm","Sz_pm_v_szeti Múzeum, Budapest",https://www.wga.hu/html/s/stevens/landsca1.html,graphics,landscape,Flemish,1601-1650
"STEVENS, Pieter","(b. ca. 1567, Mechelen, d. after 1624, Prague)",Weir,after 1600,"Pen, brush, brown ink, wash, 197 x 309 mm","Sz_pm_v_szeti Múzeum, Budapest",https://www.wga.hu/html/s/stevens/landsca2.html,graphics,landscape,Flemish,1601-1650
"STEVENS, Pieter","(b. ca. 1567, Mechelen, d. after 1624, Prague)",Landscape and Pond,after 1600,"Brush, various pale watercolours, pen, brown ink, 144 x 190 mm","Sz_pm_v_szeti Múzeum, Budapest",https://www.wga.hu/html/s/stevens/landsca3.html,graphics,landscape,Flemish,1601-1650
"STEVENS, Pieter","(b. ca. 1567, Mechelen, d. after 1624, Prague)",Waterfall,after 1607,"Pen, dark grey ink, wash in watercolours, 202 x 161 mm","Sz_pm_v_szeti Múzeum, Budapest",https://www.wga.hu/html/s/stevens/landsca4.html,graphics,landscape,Flemish,1601-1650
"STEVENS, Pieter","(b. ca. 1567, Mechelen, d. after 1624, Prague)",Mountain Valley with Inn and Castle,1593,"Oil on oak, 46 x 67 cm","Staatliche Museen, Kassel",https://www.wga.hu/html/s/stevens/valley.html,painting,landscape,Flemish,1601-1650
"STEVENS, Pieter","(b. ca. 1567, Mechelen, d. after 1624, Prague)",Mountain Valley with Inn and Castle (detail),1593,Oil on oak,"Staatliche Museen, Kassel",https://www.wga.hu/html/s/stevens/valley1.html,painting,landscape,Flemish,1601-1650
"STEVENSON, David Watson","(b. 1842, Ratho, d. 1904, Edinburgh)",Nymph at the Stream,1872,"White marble, 135 x 96 cm",Private collection,https://www.wga.hu/html/s/stevenso/nymph.html,sculpture,landscape,Scottish,1851-1900
